text,class
"I absolutely loved this product! It exceeded my expectations.",positive
"The service was terrible and the staff were rude.",negative
"Best purchase I’ve made all year! Highly recommend.",positive
"I was disappointed with the quality; it broke after a week.",negative
"Fantastic experience! Will definitely come back.",positive
"Not worth the money. Very low quality.",negative
"This is a game changer! I can't live without it now.",positive
"I had a bad experience, and I won't be returning.",negative
"Absolutely wonderful! The taste was amazing.",positive
"The delivery was late and the product was damaged.",negative
"Great value for money! Will buy again.",positive
"Customer service was unhelpful and dismissive.",negative
"An amazing experience from start to finish!",positive
"The product didn't match the description at all.",negative
"Highly satisfied with my purchase!",positive
"I wouldn't recommend this to anyone.",negative
"This is the best thing I've ever bought!",positive
"Very disappointing. I expected better.",negative
"Perfect for my needs! Will repurchase.",positive
"Terrible experience. I felt ripped off.",negative
"Absolutely fantastic! I’ll be telling my friends.",positive
"Not what I was expecting. Very unhappy.",negative
"Exceeded all my expectations!",positive
"Way overpriced for what you get.",negative
"Quality product and fast shipping!",positive
"The quality was subpar and it fell apart.",negative
"I'm so happy with this purchase!",positive
"Awful customer service experience.",negative
"Best decision I've made in a while!",positive
"Really frustrating experience, I won’t return.",negative
"This product changed my life for the better.",positive
"Very bad experience, I regret my purchase.",negative
"Wonderful product! I use it every day.",positive
"Very dissatisfied with my order.",negative
"Absolutely thrilled with my purchase!",positive
"Not worth the hassle. I'm very disappointed.",negative
"Great product! Highly recommend to everyone.",positive
"The item arrived damaged and was not replaced.",negative
"I'm impressed with the quality and service!",positive
"Terrible experience! I will never buy again.",negative
"Fantastic product! Exceeded my expectations.",positive
"The wrong item was sent to me.",negative
"I can't believe how great this is!",positive
"The packaging was awful and the product was damaged.",negative
"Superb quality! Will definitely buy again.",positive
"I had a very negative experience with this company.",negative
"Love this product! It works wonderfully.",positive
"Very poor quality and craftsmanship.",negative
"I'm really pleased with how it turned out.",positive
"Extremely disappointed with the purchase.",negative
"Exceptional service and a fantastic product!",positive
"The product arrived late and in poor condition.",negative
"This has become a staple in my routine!",positive
"Not what I hoped for; very disappointing.",negative
"Absolutely perfect! Couldn’t ask for more.",positive
"Awful experience from the start to finish.",negative
"I can't recommend this enough!",positive
"The item was not as described and very cheap.",negative
"Wonderful! I’m so glad I bought it.",positive
